-71.2017805,42.0025266,41.203,0.44,0.07,9.42,-0.05,0.04,0.03,,
-71.2017683,42.0025213,40.889,0.43,0.1,9.43,-0.05,0.04,0.03,,
-71.201755,42.0025153,40.666,0.43,0.09,9.43,-0.04,0.04,0.03,,
-71.2017405,42.0025087,40.503,0.41,0.05,9.41,-0.07,0.07,0.02,,
-71.2017253,42.0025016,40.367,0.44,0.06,9.44,-0.05,0.05,0.03,,
-71.201709,42.0024934,40.336,0.42,0.1,9.42,-0.04,0.06,0.03,,
-71.2016917,42.0024847,40.33,0.51,0.04,9.42,-0.04,0.04,0.03,,
-71.2016736,42.0024756,40.327,0.54,0.02,9.36,-0.03,0.05,0.03,,
-71.2016547,42.0024661,40.324,0.51,0.02,9.42,-0.04,0.04,0.03,,
-71.201635,42.0024563,40.326,0.51,0.03,9.42,-0.04,0.04,0.03,,
-71.2016145,42.0024462,40.328,0.51,0.03,9.41,-0.04,0.04,0.03,,
-71.201593,42.0024359,40.329,0.51,0.06,9.44,-0.04,0.04,0.03,,
-71.2015708,42.0024251,40.333,0.47,0.1,9.48,-0.04,0.07,0.03,,
-71.2015476,42.0024134,40.355,0.45,0.06,9.47,-0.04,0.04,0.03,,
-71.2015249,42.0024022,40.337,0.55,-0.06,9.57,-0.09,-0.03,0.01,,
-71.2014996,42.0023902,40.349,0.79,0.19,9.32,-0,-0.29,0.04,,
-71.2014741,42.002378,40.328,1.05,-0.06,9.18,-0.05,0.09,0.05,,
-71.2014479,42.0023658,40.291,0.73,0.05,9.17,-0.06,0.16,0.04,,
-71.2014209,42.0023532,40.284,0.49,0.08,9.38,-0.04,0.05,0.03,,
-71.2013933,42.0023404,40.274,0.48,0.06,9.41,-0.03,0.07,0.03,,
-71.201365,42.0023272,40.273,0.45,0.08,9.44,-0.05,0.05,0.03,,
-71.2013358,42.0023135,40.28,0.43,0.07,9.42,-0.04,0.04,0.03,,
-71.2013073,42.0023001,40.269,0.46,0.09,9.43,-0.05,0.05,0.03,,
-71.2012766,42.0022856,40.316,0.45,0.08,9.42,-0.05,0.05,0.03,2260:343783.600,23:29:25.600 05/03/2023
-71.2012453,42.0022708,40.294,0.44,0.08,9.42,-0.04,0.05,0.03,,
-71.2012136,42.002256,40.268,0.43,0.08,9.42,-0.04,0.05,0.03,,
-71.2011814,42.0022409,40.265,0.44,0.06,9.42,-0.04,0.04,0.03,,
