Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.123018265,-24.63718519,-1.14591559,-2.864788976,0.197727273,-0.030681818,0.989772727
0.125528812,-7.448451337,0,8.021409132,0.222727273,0.064772727,1.128409091
0.128038883,-18.33464944,13.75098708,14.32394488,0.247727273,0.005681818,1.097727273
0.130549431,41.82591904,-9.740282517,25.21014299,-0.014772727,-0.109090909,0.978409091
0.133059979,47.555497,17.18873385,1.718873385,-0.038636364,-0.110227273,1.020454545
0.135571003,-0.572957795,-16.04281826,10.31324031,-0.005681818,-0.068181818,1.075
0.138081551,25.78310078,5.729577951,6.302535746,-0.030681818,-0.077272727,1.036363636
0.140592098,9.740282517,10.31324031,-4.010704566,0.069318182,0.169318182,1.190909091
0.143102646,5.156620156,3.437746771,-3.437746771,0.077272727,0.148863636,1.2125
0.145613194,0,10.88619811,-9.167324722,0.067045455,0.286363636,1.115909091
0.148123264,6.302535746,-2.864788976,0,0.0625,0.323863636,1.140909091
0.150634289,7.448451337,-0.572957795,7.448451337,0.013636364,0.214772727,1.078409091
0.153144836,8.594366927,4.583662361,9.167324722,0.088636364,0.309090909,1.082954545
0.155655384,15.46986047,20.05352283,12.0321137,0.085227273,0.403409091,1.043181818
0.158165932,34.37746771,30.93972094,6.302535746,0.0875,0.379545455,1.054545455
0.160676479,-41.25296125,1.718873385,2.291831181,-0.138636364,0.289772727,0.9375
0.163187504,-40.68000345,-4.010704566,7.448451337,-0.160227273,0.193181818,1.089772727
0.165698051,-19.48056503,-5.729577951,-1.718873385,-0.125,0.036363636,1.102272727
0.168208122,-12.60507149,-8.021409132,2.864788976,-0.130681818,0.030681818,1.131818182
0.17071867,-0.572957795,6.302535746,-8.594366927,-0.053409091,0.021590909,1.088636364
0.173229218,1.14591559,13.75098708,-4.583662361,-0.089772727,0.054545455,1.113636364
0.175739765,8.021409132,8.021409132,9.740282517,-0.095454545,0.164772727,1.060227273
0.17825079,10.88619811,4.583662361,-0.572957795,-0.040909091,0.397727273,1.142045455
0.180761337,20.62648062,6.302535746,6.302535746,-0.043181818,0.343181818,1.220454545
0.183271885,-21.19943842,10.88619811,3.437746771,-0.081818182,0.257954545,1.161363636
0.185782433,-24.0642274,1.718873385,-7.448451337,-0.072727273,-0.05,0.979545455
0.188292503,-11.4591559,11.4591559,1.718873385,-0.089772727,-0.0875,0.982954545
0.190803051,1.14591559,13.75098708,9.740282517,-0.105681818,-0.115909091,0.970454545
0.193313599,2.291831181,9.167324722,10.31324031,-0.109090909,-0.135227273,0.932954545
0.195824623,-0.572957795,-5.156620156,-15.46986047,-0.140909091,0.054545455,1.101136364
0.198335171,4.583662361,8.594366927,-10.88619811,-0.195454545,0.010227273,1.111363636
0.200845718,-4.010704566,-4.010704566,-16.04281826,-0.104545455,-0.061363636,1.05
0.203356266,0,-4.010704566,-13.17802929,-0.142045455,0.038636364,1.096590909
0.205867291,-6.302535746,4.010704566,-1.14591559,-0.013636364,-0.0625,1.082954545
0.208376885,8.594366927,-5.156620156,-1.14591559,-0.017045455,-0.042045455,1.064772727
0.210887909,2.864788976,18.90760724,5.729577951,-0.020454545,-0.034090909,1.101136364
0.213398457,-2.864788976,8.594366927,3.437746771,-0.065909091,-0.039772727,1.15
0.215909004,7.448451337,-12.0321137,3.437746771,-0.010227273,0.029545455,1.051136364
0.218419552,7.448451337,2.864788976,8.021409132,0.056818182,0.043181818,1.122727273
0.220930576,-4.010704566,14.32394488,2.864788976,0.014772727,0.067045455,1.088636364
0.223441124,-10.88619811,18.90760724,4.010704566,0.009090909,0.038636364,1.098863636
0.225951672,10.31324031,2.864788976,12.0321137,-0.013636364,0.122727273,1.048863636
0.228461742,4.010704566,5.156620156,-1.14591559,0.001136364,0.143181818,1.095454545
0.23097229,7.448451337,12.0321137,-8.021409132,-0.007954545,0.128409091,1.040909091
0.233482838,0,14.89690267,14.32394488,-0.075,0.179545455,1.078409091
0.235993385,-2.864788976,11.4591559,0,-0.018181818,0.1,1.094318182
0.23850441,-1.14591559,1.718873385,4.010704566,-0.035227273,0.107954545,1.082954545
0.241014957,1.14591559,8.021409132,-1.718873385,0.001136364,0.121590909,1.090909091
0.243525505,4.583662361,1.14591559,-2.291831181,-0.026136364,0.114772727,1.077272727
0.246036053,10.88619811,16.04281826,4.583662361,-0.030681818,0.194318182,1.054545455
0.248546124,-8.594366927,3.437746771,2.864788976,-0.061363636,0.247727273,1.070454545
0.251056671,-14.32394488,1.718873385,0,-0.035227273,0.218181818,1.071590909
0.253567696,-0.572957795,1.14591559,17.76169165,-0.090909091,0.198863636,1.060227273
0.256078243,-5.729577951,0,0.572957795,-0.197727273,0.186363636,1.089772727
0.258588791,-3.437746771,-0.572957795,9.740282517,-0.110227273,0.173863636,1.071590909
0.261099339,-5.729577951,-4.010704566,5.156620156,-0.101136364,0.146590909,1.117045455
0.263609886,-11.4591559,2.291831181,-10.31324031,-0.044318182,0.164772727,1.047727273
0.266120911,-8.594366927,0,-9.167324722,-0.081818182,0.101136364,1.111363636
0.268630982,-5.156620156,-1.718873385,-5.156620156,-0.089772727,0.109090909,1.086363636
0.271141529,-4.010704566,-1.14591559,12.60507149,-0.109090909,0.095454545,1.127272727
0.273652077,-13.75098708,-5.156620156,2.291831181,-0.077272727,0.084090909,1.069318182
